Paper,Passage,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Subject,Topic,Year,Image Url
GS1,,"""System of Rice Intensification"" of cultivation, in which alternate wetting and drying of rice fields is practised, results in\n1. Reduced seed requirement\n2. Reduced methane production\n3. Reduced electricity consumption\nSelect the correct answer using the code given below:",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D,,Environment & Ecology and Disaster Management,Agriculture,2022,
GS1,,"How is permaculture farming different from conventional chemical farming?\n1. Permaculture farming discourages monocultural practices but in conventional chemical farming, monoculture practices are predominant.\n2. Conventional chemical farming can cause an increase in soil salinity but the occurrence of such phenomenon is not observed in permaculture farming.\n3. Conventional chemical farming is easily possible in semi-arid regions but permaculture farming is not so easily possible in such regions.\n4. Practice of mulching is very important in permaculture farming but not necessarily so in conventional chemical farming.\nSelect the correct answer using the code given below.",1 and 3,"1, 2 and 4",4 only,2 and 3,B,,Environment & Ecology and Disaster Management,Agriculture,2021,
GS1,,"With reference to 'palm oil', consider the following statements:\n1. The palm oil tree is native to Southeast Asia.\n2. The palm oil is a raw material for some industries producing lipstick and perfumes.\n3. The palm oil can be used to produce biodiesel.\nWhich of the statements given above are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",B,,Environment & Ecology and Disaster Management,Agriculture,2021,
GS1,,"Among the following, which one is the least water-efficient crop?",Sugarcane,Sunflower,Pearl millet,Red gram,A,,Environment & Ecology and Disaster Management,Agriculture,2021,
GS1,,"In the context of India's preparation for Climate-Smart Agriculture, consider the following statements:\n1. The 'Climate-Smart Village' approach in India is a part of a project led by the Climate Change, Agriculture and Food Security (CCAFS), an international research programme.\n2. The project of CCAFS is carried out under Consultative Group on International Agricultural Research (CGLAR) headquartered in France.\n3. The International Crops Research Institute for the Semi-Arid Tropics (ICRISAT) in India is one of the CGIAR's research centres.\nWhich of the statements given above are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D,,Environment & Ecology and Disaster Management,Agriculture,2021,
GS1,,"What is the use of biochar in farming?\n1. Biochar can be used as a part of the growing medium in vertical farming.\n2. When biochar is a part of the growing medium, it promotes the growth of nitrogen-fixing microorganisms.\n3. When biochar is a part of the growing medium, it enables the growing medium to retain water for a longer time.\nWhich of the statements given above is/are correct?",1 and 2 only,2 only,1 and 3 only,"1, 2 and 3",D,,Environment & Ecology and Disaster Management,Agriculture,2020,
GS1,,"In the context of India, which of the following is/are considered to be practice(s) of eco-friendly agriculture?\n1. Crop diversification\n2. Legume intensification\n3. Tensiometer use\n4. Vertical farming\nSelect the correct answer using the code given below:","1, 2 and 3 only",3 only,4 only,"1, 2, 3 and 4",A,,Environment & Ecology and Disaster Management,Agriculture,2020,
GS1,,"What is/are the advantage/advantages of zero tillage in agriculture?\n1. Sowing of wheat is possible without burning the residue of the previous crop.\n2. Without the need for a nursery of rice saplings, direct planting of paddy seeds in the wet soil is possible.\n3. Carbon sequestration in the soil is possible.\nSelect the correct answer using the code given below:",1 and 2 only,2 and 3 only,3 only,"1, 2 and 3",D,,Environment & Ecology and Disaster Management,Agriculture,2020,
GS1,,What are the advantages of fertigation in agriculture? (2020)\n1. Controlling the alkalinity of irrigation water is possible.\n2. Efficient application of Rock Phosphate and all other phosphatic fertilizers is possible.\n3. Increased availability of nutrients to plants is possible.\n4. Reduction in the leaching of chemical nutrients is possible.,"1, 2 and 3","1, 2 and 4 only","1, 3 and 4 only","2, 3 and 4 only",C,,Environment & Ecology and Disaster Management,Agriculture,2020,
GS1,,"With reference to agricultural soils, consider the following statements: (2018)\n1. A high content of organic matter in soil drastically reduces its water holding capacity.\n2. Soil does not play any role in the sulphur cycle.\n3. Irrigation over a period of time can contribute to the salinization of some agricultural lands.",1 and 2 only,3 only,1 and 3 only,"1, 2 and 3",B,,Environment & Ecology and Disaster Management,Agriculture,2018,
GS1,,"With reference to the circumstances in Indian agriculture, the concept of ""Conservation Agriculture"" assumes significance. Which of the following fall under the Conservation Agriculture? (2018)\n1. Avoiding the monoculture practices\n2. Adopting minimum tillage\n3. Avoiding the cultivation of plantation crops\n4. Using crop residues to cover soil surface\n5. Adopting spatial and temporal crop sequencing/crop rotations","1, 3 and 4 only","2, 3, 4 and 5 only","2, 4 and 5 only","1, 2, 3 and 5 only",C,,Environment & Ecology and Disaster Management,Agriculture,2018,
GS1,,Which of the following statements can help in water conservation in agriculture? (2017)\n1. Reduced or zero tillage of the land\n2. Applying gypsum before irrigating the field\n3. Allowing crop residue to remain in the field,1 and 2 only,3 only,1 and 3 only,"1, 2 and 3",C,,Environment & Ecology and Disaster Management,Agriculture,2017,
GS1,,What can be the impact of excessive/inappropriate use of nitrogenous fertilisers in agriculture? (2015)\n1. Proliferation of nitrogen fixing microorganisms in soil can occur.\n2. Increase in the acidity of soil can take place.\n3. Leaching of nitrate to the groundwater can occur.,1 and 3 only,2 only,2 and 3 only,"1, 2 and 3",C,,Environment & Ecology and Disaster Management,Agriculture,2015,
GS1,,What is/are the significance of a practical approach to sugarcane production known as 'Sustainable Sugarcane Initiative'? (2014)\n1. Seed cost is very low in this compared to the conventional method of cultivation.\n2. Drip irrigation can be practised very effectively in this.\n3. There is no application of chemical/inorganic fertilisers at all in this.\n4. The scope for intercropping is more in this compared to the conventional method of cultivation.,1 and 3 only,"1, 2 and 4 only","2, 3 and 4 only","1, 2, 3 and 4",B,,Environment & Ecology and Disaster Management,Agriculture,2014,
GS1,,Consider the following organisms: (2013)\n1. Agaricus\n2. Nostoc\n3. Spirogyra\nWhich of the above is/are used as biofertilizer/biofertilizers?,1 and 2 only,2 only,2 and 3 only,3 only,B,,Environment & Ecology and Disaster Management,Agriculture,2013,
GS1,,Consider the following kinds of organisms: (2012)\n1. Bacteria\n2. Fungi\n3. Flowering plants\nSome species of which of the above kinds of organisms are employed as biopesticides?,1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D,,Environment & Ecology and Disaster Management,Agriculture,2012,
GS1,,"Consider the following agricultural practices: (2012)\n1. Contour bunding\n2. Relay cropping\n3. Zero tillage\nIn the context of global climate change, which of the above helps/help in carbon sequestration/storage in the soil?",1 and 2 only,3 only,"1, 2 and 3",None of them,B,,Environment & Ecology and Disaster Management,Agriculture,2012,
